,Link,Job Title,Company,Rating,Location,Salary,Date
24,https://in.indeed.com/company/mea-platforms-group-ltd/jobs/Data-Analyst-017492721fc0ea4c?fccid=d6836e1bce4d821a&vjs=3,Data Analyst,mea platforms group ltd,N/A,"Remote in Bengaluru, Karnataka","₹3,00,000 - ₹3,50,000 a year",EmployerActive 3 days ago
25,https://in.indeed.com/rc/clk?jk=177ca8474b1b3cb2&fccid=167aa4ca2fe7d8e6&vjs=3,Data Analyst,Shell,3.9,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
26,https://in.indeed.com/rc/clk?jk=22eb0b021bfca6e9&fccid=bafa4b35e9cd20ce&vjs=3,Data Analyst,AECOM,3.7,"Hybrid remote in Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
27,https://in.indeed.com/rc/clk?jk=2f52c263db66123d&fccid=1e3e186f5f922b89&vjs=3,Associate Data Analytics - Freshers,BigSpire Software,N/A,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
28,https://in.indeed.com/rc/clk?jk=b91b9ede782a30c1&fccid=dd616958bd9ddc12&vjs=3,Data Analyst,SatSure Analytics India,N/A,"Remote in Bengaluru, Karnataka",N/A,PostedPosted 30 days ago
29,https://in.indeed.com/company/TECHTORA-CONSULTANCY-PVT.-LTD./jobs/Data-Analyst-2db7c32258578b91?fccid=49bf29b96cab8f4f&vjs=3,Data Analyst,TECHTORA CONSULTANCY PVT. LTD.,N/A,"Bengaluru, Karnataka","₹10,00,001 - ₹16,00,001 a year",PostedPosted 30+ days ago
30,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtsN7afMoSAWdBecNwvrHUtCml2fyFLgVE1sfQWF7pkveY6fi3tZEIR8v_wYWixq_bO8KiKCVALewkE8i88Ougzuj98dAl4NaiUBe01rDRPoFww8OC5T91DA7zMgcOA6VBOhMAH3o0YI1ZyAcJ9RkALibyVmXpQaxDUbKLRwIboKn8LpY2bXdLxCk_GTcO6enJ2FkF4WIuJJ2srEE_dlAoXbzcrMWEvp9BanABSH5PHRVfVfrOHcF_BfGt0mjZkkXq_nDrswzfvJXj_o2CjPuZOpwLOlHijvXKxiRfsu4_iykI70ZBXAubI2Y61HMojDJKGheErwDykWkh0Nik-psedoK_LwcMECzkdAk7PoWUR0PPfDbs4cwu-cqXfDNiT9qxiN3r2lbThptkqVShCF0yGhHUjnXM0cd9uNHMNnX635OQMlIBRPKY1ckov3qGUk6X5_9mHnlFRXMHLW3h_eMm37rgRDXUqMOiSt9C4yHZDeI241UxHYVNC9Mh8Aetr06oAJnrD3X7iz3YkcA-gDAmPT19zTGxKka3M_nCJyoS7ImE8uvF9-_qHZnUoJBw7mKoQzjho5uiLie83f6md-OTBIPiDYrSk2DBQ==&xkcb=SoCX-_M3VpKlo2x83R0PbzkdCdPP&p=14&fvj=0&vjs=3,Senior Quantitative Analytics Specialist,WELLS FARGO BANK,3.7,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
31,https://in.indeed.com/rc/clk?jk=177ca8474b1b3cb2&fccid=167aa4ca2fe7d8e6&vjs=3,Data Analyst,Shell,3.9,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
32,https://in.indeed.com/rc/clk?jk=9905b641adb07521&fccid=a3163e1f583839d0&vjs=3,Data Analyst (Real-Word Data),Labcorp,3.4,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
33,https://in.indeed.com/rc/clk?jk=981c3cb762fba9b3&fccid=afbf8c270610a38a&vjs=3,Data Analyst,Cigna,3.7,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
